trade_id,entry_price,exit_price,direction,probability,raw_pnl,net_pnl,raw_return,net_return,won,hour,year,month,day_of_week
17,43677.85,43681.4,LONG,0.6274845540523529,124.25000000010186,-792.9848499998981,8.127689435269618e-05,-0.0005187231056473037,False,0,2023,5,2
18,43681.4,44018.0,LONG,0.6191069483757019,11780.999999999949,10863.690599999949,0.007705796975371635,0.007105796975371635,True,0,2023,5,3
19,44018.0,44311.9,LONG,0.6200856924057007,10286.500000000051,9362.12200000005,0.0066768140306238686,0.006076814030623869,True,0,2023,5,4
20,44311.9,44436.35,LONG,0.6356775224208833,4355.749999999898,3425.200099999898,0.0028085006510665776,0.0022085006510665778,True,0,2023,5,0
21,44436.35,44128.15,LONG,0.6598137140274049,-10786.999999999898,-11720.163349999897,-0.00693576317586834,-0.00753576317586834,False,0,2023,5,1
22,44128.15,43790.2,LONG,0.6173622369766236,-11828.250000000153,-12754.941150000153,-0.007658376795764254,-0.008258376795764254,False,0,2023,5,2
23,43790.2,43937.85,LONG,0.6090742111206054,5167.750000000051,4248.155800000051,0.0033717589780362153,0.0027717589780362154,True,0,2023,6,3
24,43937.85,44101.65,LONG,0.5236439406871796,5733.000000000102,4810.305150000102,0.003727993062928726,0.003127993062928726,True,0,2023,6,4
25,44101.65,44164.55,LONG,0.5545939803123474,2201.500000000051,1275.365350000051,0.0014262504917616791,0.0008262504917616792,True,0,2023,6,0
26,44164.55,44275.3,LONG,0.5985456645488739,3876.25,2948.7944500000003,0.0025076673485861394,0.0019076673485861396,True,0,2023,6,1
27,44275.3,43995.25,LONG,0.6086324870586396,-9801.750000000102,-10731.531300000102,-0.006325197118935454,-0.006925197118935454,False,0,2023,6,2
28,43995.25,43989.0,LONG,0.6274953722953797,-218.75,-1142.65025,-0.00014206079065353646,-0.0007420607906535365,False,0,2023,6,3
29,43989.0,43944.2,LONG,0.5946334898471832,-1568.0000000001019,-2491.7690000001016,-0.0010184364272887065,-0.0016184364272887066,False,0,2023,6,4
30,43944.2,44079.85,LONG,0.5530196487903595,4747.750000000051,3824.921800000051,0.003086869256921311,0.002486869256921311,True,0,2023,6,0
31,44079.85,43988.0,LONG,0.6395242810249329,-3214.749999999949,-4140.426849999949,-0.0020837185244504813,-0.002683718524450481,False,0,2023,6,1
32,43988.0,43443.6,LONG,0.5847236275672913,-19054.00000000005,-19977.74800000005,-0.01237610257342915,-0.01297610257342915,False,0,2023,6,2
33,43443.6,43938.15,LONG,0.49084432721138005,17309.250000000102,16396.9344000001,0.011383725105654295,0.010783725105654295,True,0,2023,6,3
34,43938.15,43633.75,LONG,0.6670651614665986,-10654.000000000051,-11576.701150000052,-0.0069279202697428415,-0.007527920269742841,False,0,2023,6,4
35,43633.75,43766.5,LONG,0.6174072682857514,4646.25,3729.94125,0.003042369725270003,0.002442369725270003,True,0,2023,6,0
36,43766.5,43859.2,LONG,0.6395402789115906,3244.499999999898,2325.403499999898,0.002118058332286043,0.001518058332286043,True,0,2023,6,1
37,43859.2,43724.85,LONG,0.6077719688415528,-4702.249999999949,-5623.293199999949,-0.003063211367284368,-0.003663211367284368,False,0,2023,6,2
38,43724.85,43622.9,LONG,0.5031619131565094,-3568.249999999898,-4486.471849999898,-0.002331626066184266,-0.0029316260661842656,False,0,2023,6,3
39,43622.9,43641.05,LONG,0.5886507511138916,635.2500000000509,-280.830899999949,0.00041606587365813495,-0.000183934126341865,False,0,2023,6,4
40,43641.05,44121.5,LONG,0.5168739438056946,16815.749999999898,15899.287949999898,0.011009130165291555,0.010409130165291556,True,0,2023,6,0
41,44121.5,44327.8,LONG,0.6606209993362427,7220.500000000102,6293.948500000102,0.004675724986684562,0.004075724986684562,True,0,2023,6,1
42,44327.8,44747.35,LONG,0.570717614889145,14684.249999999847,13753.366199999848,0.009464715144897684,0.008864715144897685,True,0,2023,6,2
43,44747.35,45158.1,LONG,0.6589719593524933,14376.25,13436.55565,0.00917931452924028,0.00857931452924028,True,0,2023,6,4
44,45158.1,45301.45,LONG,0.6446659743785859,5017.249999999949,4068.929899999949,0.003174402820313489,0.002574402820313489,True,0,2023,7,0
