Date,close,open,high,low,volume
15-03-2011,10725.8,10673.9,10784.2,10591.3,15.74
14-03-2011,10893.25,10730.4,10916.65,10730.4,8.55
11-03-2011,10740.95,10772.9,10904.2,10697.1,10.34
10-03-2011,10850.25,10920.65,10920.65,10783.3,8.57
09-03-2011,10974.8,10987.4,11054,10904.6,13.63
08-03-2011,10931.55,10782.6,10962.7,10779.15,11.61
07-03-2011,10782.25,10886.1,10886.1,10658.3,13.4
04-03-2011,10963.4,11008.9,11134.1,10924.1,15.48
03-03-2011,10914.5,10805,11066.4,10759.7,23.32
01-03-2011,10885.4,10541.95,10906.15,10528.35,17.47
28-02-2011,10435.35,10512.2,10744.85,10364.35,20.88
25-02-2011,10435.85,10329.65,10510.5,10263.15,17.31
24-02-2011,10210.75,10603.25,10643.25,10169,30.49
23-02-2011,10646.45,10776.8,10857.85,10628.65,14.09
22-02-2011,10836.8,10957.5,10957.5,10777.65,12.46
21-02-2011,11050.1,10935.3,11070.35,10806.3,12.74
18-02-2011,10949.7,11153.8,11300.45,10915.35,24.05
17-02-2011,11134.7,10996.25,11190.2,10918.1,17.92
16-02-2011,10960.7,10929.25,11024.25,10908.65,13.37
15-02-2011,10959.7,10821.5,11035.15,10722.7,21.4
14-02-2011,10802.55,10477.85,10815.7,10477.85,15.44
11-02-2011,10447.75,10061.4,10473.45,10061.4,17.56
10-02-2011,10074.1,10106.25,10227.75,10017.85,18.14
09-02-2011,10116.65,10131.35,10294.8,10038.15,21.99
08-02-2011,10147.75,10431.05,10431.05,10119.45,19.76
07-02-2011,10384.05,10457.8,10509.8,10354.6,14.27
04-02-2011,10433.85,10632.9,10772.45,10385.9,16.89
03-02-2011,10670.6,10460.95,10704.3,10429.5,14.25
02-02-2011,10470.15,10599,10614.95,10418.2,16.56
01-02-2011,10481.2,10683.45,10683.45,10457.8,19.05
31-01-2011,10641.85,10444.35,10696.3,10400.25,23.67
28-01-2011,10578.25,10690.05,10736.4,10481.1,30.57
27-01-2011,10676.15,10946.4,10970.85,10639.85,33.83
25-01-2011,10872.95,11183.55,11256.95,10849.4,26.93
24-01-2011,11151.15,10923.75,11177.85,10913.45,25.6
21-01-2011,10889.4,10750.4,10923.7,10740,20.71
20-01-2011,10798.35,10579.25,10878.8,10493.25,20.74
19-01-2011,10615.15,10646,10715.05,10562.25,16.37
18-01-2011,10618.5,10534.3,10677.95,10520.3,15.8
17-01-2011,10471.1,10459.6,10571.8,10373.8,17.58
14-01-2011,10432.9,10746.8,10907.3,10387.9,19.3
13-01-2011,10716.65,11125.95,11127.95,10676.5,18.52
12-01-2011,11128.15,10906.4,11161.15,10728.45,24.86
11-01-2011,10833.55,10734.2,10951.2,10620.8,22.3
10-01-2011,10700.65,11024.5,11072.7,10671.6,21.59
07-01-2011,11053.35,11146.45,11258.5,11007.9,25.19
06-01-2011,11186.8,11350.7,11377.1,11164.75,19.56
05-01-2011,11305.45,11545.75,11545.75,11265.55,19.69
04-01-2011,11564.05,11868.4,11872.8,11545.55,16.04
03-01-2011,11855.75,11882.1,11912.15,11826.95,8.9
31-12-2010,11791.45,11633.65,11828.4,11631.2,12.56
30-12-2010,11629.3,11605.05,11662.1,11573.7,15.06
29-12-2010,11612.9,11448.65,11627.1,11433.3,9.23
28-12-2010,11427.3,11497.35,11497.35,11392.9,8.88
27-12-2010,11470.95,11491.4,11543.9,11441.55,6.77
24-12-2010,11477.05,11412.65,11510.55,11390.1,8.15
23-12-2010,11469.05,11510.5,11541.05,11432.15,10.08
22-12-2010,11467.7,11597.55,11634.65,11408.15,15.15
21-12-2010,11537.25,11294.35,11571,11294.35,18.92
20-12-2010,11267.1,11401.05,11404.65,11237.2,16.93
16-12-2010,11424.15,11231.15,11484.95,11147.45,23.47
15-12-2010,11196.3,11478.85,11490.35,11150.95,20.87
14-12-2010,11560.5,11558.4,11623.7,11441.4,17.22
13-12-2010,11518.1,11527.35,11565.35,11270.1,23.77
10-12-2010,11447,11087.75,11482.7,10977.9,32.87
09-12-2010,11116.05,11470.65,11534,11043.95,34.77
08-12-2010,11460.2,11646,11646,11403.85,29.99
07-12-2010,11695.3,12040.4,12040.4,11629.5,33.01
06-12-2010,12051.2,12427.95,12429.45,12011.5,21.57
03-12-2010,12349.2,12453.25,12464.1,12232.7,20.32
02-12-2010,12472.6,12411,12535.85,12389.65,21.53
01-12-2010,12310.75,11987.7,12345.35,11963.85,24.16
30-11-2010,11952.6,11811.1,12031.25,11725.5,34.65
29-11-2010,11828.35,11731.35,11855.7,11707.85,25.57
26-11-2010,11668.85,11703.25,11874.55,11362.9,40.36
25-11-2010,11652.4,11897.9,11962.1,11608.3,44.83
24-11-2010,11842.55,12206,12292.85,11746.75,28.49
23-11-2010,12206.45,12318.8,12318.8,11891.35,25.58
22-11-2010,12390.1,12120.8,12414.55,12054.55,25.92
19-11-2010,12062.95,12325.75,12325.75,12013.65,21.41
18-11-2010,12315.15,12630.9,12630.9,12050.35,35.5
16-11-2010,12524.45,12826.9,12826.9,12436.5,25.4
15-11-2010,12762.15,12467.5,12789.45,12445.55,25.61
12-11-2010,12457.3,12788.55,12826.65,12428.8,19.92
11-11-2010,12823.6,13014.2,13068.55,12782,16.96
10-11-2010,13007.1,13092.9,13098.75,12980.85,20.71
09-11-2010,13121.35,13023.85,13171.1,12950.7,21.32
08-11-2010,13105.1,13288.05,13301.45,13078.9,19.89
05-11-2010,13268.7,13246.05,13303.6,13243.25,4.45
04-11-2010,13182.9,12987.3,13204.55,12952.15,22.47
03-11-2010,12891.8,12843.95,12958.1,12843.95,17.45
02-11-2010,12770.9,12749.95,12844.5,12685.25,17.85
01-11-2010,12734.9,12485.5,12779.65,12485.5,22.82
29-10-2010,12330.75,12145.7,12396.7,11955.55,32.31
28-10-2010,12105.3,12226.7,12291.15,12052.05,48.9
27-10-2010,12182.65,12324.85,12331.1,12097.85,24.27
26-10-2010,12332.65,12427.55,12435.7,12314.65,13.97
25-10-2010,12424.7,12423.35,12580.5,12397.4,15.69
22-10-2010,12384.8,12480.2,12486.55,12298.15,19.65
21-10-2010,12435.8,12219,12458.15,12190.5,27.95
20-10-2010,12176.5,12214.75,12302.7,12139.9,23.45
19-10-2010,12245.65,12415,12535.85,12212.35,20.39
18-10-2010,12331.3,12451.55,12451.55,12149.55,18.75
15-10-2010,12346.45,12615.5,12629.45,12324.4,14.57
14-10-2010,12598.85,12785.95,12827.35,12532.4,15.09
13-10-2010,12745,12494.7,12763.7,12459.2,20.46
12-10-2010,12461.8,12517.2,12521.8,12371.4,12.75
11-10-2010,12513,12514.9,12592,12457.55,12.34
08-10-2010,12473.4,12560.9,12586.7,12414.8,15.99
07-10-2010,12536.6,12638.4,12650.25,12512.85,14.9
06-10-2010,12629.2,12647.25,12728.95,12588.95,18.21
05-10-2010,12596.5,12638.85,12679.25,12572.25,14.42
04-10-2010,12651.3,12605.45,12738.5,12605.45,16.8
01-10-2010,12556.75,12390.9,12579.95,12376.25,18.48
30-09-2010,12366.35,12210.75,12410.6,12178.9,20.08
29-09-2010,12237.55,12324.5,12342.55,12220.9,15.06
28-09-2010,12272.4,12242.75,12295.85,12163.35,15.93
27-09-2010,12253.2,12323.45,12363.35,12227.75,15.35
24-09-2010,12263.55,12083.3,12287.95,12068.4,23.95
23-09-2010,12146.3,12312.55,12327.8,12111.4,17.43
22-09-2010,12305.7,12248.1,12340,12177.8,25.68
21-09-2010,12244.95,12288.1,12335.1,12173.2,20.16
20-09-2010,12251.2,12109.05,12291,12067.4,16.23
17-09-2010,12104.1,12071.7,12175.8,12037.35,16.05
16-09-2010,12032.05,11960.65,12236.85,11960.6,31.28
15-09-2010,11987.6,11917.45,12022.35,11917.45,25.26
14-09-2010,11928.35,11902.8,12042.6,11893.35,22.6
13-09-2010,11872.85,11489.5,11905.2,11489.5,31.2
09-09-2010,11446.7,11223.65,11468.75,11223.65,29
08-09-2010,11190.05,11110.35,11256.2,11099.3,17.1
07-09-2010,11192.95,11236.65,11247.15,11156.85,10.44
06-09-2010,11218.8,11033.6,11261.15,11033.6,12.34
03-09-2010,10991.2,10992.15,11017.15,10938.9,9.15
02-09-2010,10980.6,10931.4,11001.65,10931.4,13.27
01-09-2010,10879.75,10761.65,10895.55,10761.65,12.34
31-08-2010,10746.35,10699.05,10771,10653.3,12.3
30-08-2010,10747.25,10834.4,10873.3,10671.45,8.41
27-08-2010,10727.45,11003.25,11003.25,10681.6,10.66
26-08-2010,10981.7,10941.8,11042.15,10941.8,17.36
25-08-2010,10937.85,10993,11029.25,10917.1,13.87
24-08-2010,11043,11082.95,11125.8,10979.5,14.39
23-08-2010,11095.5,11024.5,11115.55,10971.7,11.13
20-08-2010,11033.75,11058.55,11105,11005.5,12.97
19-08-2010,11110.5,10920.4,11126.95,10895.85,19.15
18-08-2010,10894.05,10790.85,10931.65,10756.55,22.54
17-08-2010,10770.25,10709.15,10810.3,10705.65,23.59
16-08-2010,10680.55,10732.05,10778.25,10645.45,15.2
13-08-2010,10737.35,10603.9,10782.2,10603.9,18.61
12-08-2010,10583.65,10308.15,10614.2,10308.15,20.92
11-08-2010,10428.65,10506.05,10545.5,10391.9,11.72
10-08-2010,10519.95,10507.45,10578.85,10473.55,14.3
09-08-2010,10524.1,10407.55,10534,10393.5,10.94
06-08-2010,10383.65,10442.25,10476.7,10364.95,11.56
05-08-2010,10454.9,10444.6,10539.65,10441.5,14.69
04-08-2010,10489.3,10511.05,10525.85,10412.65,13.15
03-08-2010,10502.65,10452.15,10542.9,10448.15,18.34
02-08-2010,10411.5,10258.35,10436.4,10255.4,19.56
30-07-2010,10161,10152.5,10243.9,10116.7,20.04
29-07-2010,10179.7,10038.6,10207.2,10032.05,18.24
28-07-2010,10068.15,10093.9,10117,10024.4,11.91
27-07-2010,10090.65,10035.65,10128.6,9951.55,13.67
26-07-2010,10024,10108.9,10152.5,9998.95,10.97
23-07-2010,10093.9,10088.25,10120.6,10034.45,16.95
22-07-2010,10060.25,9954.9,10069.2,9914.85,16.6
21-07-2010,9992.15,10003.5,10037.5,9940.95,12.39
20-07-2010,9976,10081.75,10106.85,9949.05,10.72
19-07-2010,10032.5,10001.9,10078.4,9956.65,17.4
16-07-2010,10013.45,9951.3,10026.25,9941.7,14.87
15-07-2010,9932.1,9967.25,9995.75,9885.55,13.77
14-07-2010,9956.65,10009,10061.95,9928.4,14.31
13-07-2010,9931.6,9737.65,9940.75,9737.65,12.33
12-07-2010,9850.6,9745.9,9864.4,9745.9,13.34
09-07-2010,9713.7,9616.6,9726.5,9616.6,13.83
08-07-2010,9566.6,9516.7,9615.15,9516.7,11.94
07-07-2010,9449.25,9534.95,9534.95,9430.5,9.05
06-07-2010,9550.9,9388.7,9564.8,9383.25,10.63
05-07-2010,9385.35,9335.45,9415.85,9312.1,6.29
02-07-2010,9357.15,9363.6,9410.3,9330.3,10.01
01-07-2010,9349.4,9403.95,9412.8,9303.05,12.19
30-06-2010,9464.6,9344,9486.75,9301.4,14.98
29-06-2010,9381.4,9513.05,9513.05,9348.4,13.26
28-06-2010,9542.2,9456.1,9551.9,9436.75,10.19
25-06-2010,9451.1,9627.6,9627.6,9429.7,12.23
24-06-2010,9673.6,9706.9,9731.5,9617.7,34.65
23-06-2010,9718.95,9622.75,9744.15,9622.1,9.94
22-06-2010,9675.5,9739.05,9762.6,9665.3,10.1
21-06-2010,9758.05,9626.4,9793.15,9626.4,13.56
18-06-2010,9576.25,9600.7,9611.55,9544.3,12.25
17-06-2010,9613.4,9582.95,9636.8,9446.3,19.9
16-06-2010,9588.9,9629.65,9629.65,9527.4,11.87
15-06-2010,9554.4,9524.9,9566.3,9422.95,9.89
14-06-2010,9534.1,9496.35,9549.9,9468.75,14.23
11-06-2010,9451.75,9428.85,9463.05,9386.7,12.24
10-06-2010,9346.45,9233.55,9367.45,9215.35,12.92
09-06-2010,9238.2,9195.9,9341.3,9182.45,12.04
08-06-2010,9185.3,9291.25,9387.1,9143.5,14.08
07-06-2010,9292.6,9221.8,9328.15,9192.7,12.29
04-06-2010,9455.95,9402.8,9490.95,9363.3,14.06
03-06-2010,9387.7,9290.35,9404.1,9288.5,12.68
02-06-2010,9192.45,9164.05,9220.2,9083.65,11.62
01-06-2010,9119.05,9331.85,9334.3,9093.15,14.96
31-05-2010,9363.7,9305.55,9385.3,9257.65,11.57
28-05-2010,9312.6,9285.95,9383.95,9215.6,14.07
27-05-2010,9258.45,9007.3,9292.15,8954.35,19.96
26-05-2010,9027.6,8911.4,9037.65,8911.4,15.77
25-05-2010,8851.75,9023.6,9023.6,8806.65,15.16
24-05-2010,9087.25,9524.5,9524.5,9044.55,11.95
21-05-2010,9135.7,9151.3,9174.9,8969.2,14.35
20-05-2010,9174.6,9208.3,9251.95,9108.2,15.81
19-05-2010,9108.35,9408.7,9408.7,9075,24.42
18-05-2010,9492.25,9522.15,9572.05,9430.7,14.36
17-05-2010,9526.5,9485.35,9551.05,9303.75,18.82
14-05-2010,9589.05,9738.15,9762.15,9548.2,15.79
13-05-2010,9773.35,9788.35,9849.05,9748.85,15.14
12-05-2010,9722.2,9640.8,9740.85,9587.1,16.19
11-05-2010,9626.1,9683.2,9733.8,9593.55,15.58
10-05-2010,9656.25,9419.5,9684.4,9402.05,17.36
07-05-2010,9276.1,9426.65,9444.05,9239.8,16.89
06-05-2010,9582,9588.85,9627.45,9449.75,13.83
05-05-2010,9581.85,9461.35,9609.45,9454.75,18.03
04-05-2010,9623.7,9816.6,9837.7,9607.45,13.63
03-05-2010,9775.5,9809.4,9863.45,9741.5,13.29
30-04-2010,9870.35,9809.4,9923.15,9809.4,18.71
29-04-2010,9803.8,9652.6,9822.05,9652.6,20.64
28-04-2010,9634.9,9630.35,9723.35,9603.5,15.03
27-04-2010,9756.45,9827,9827,9744.7,10.98
26-04-2010,9839.15,9890.8,9920.45,9824.75,18.04
23-04-2010,9813.3,9653.15,9824.95,9653.15,21.09
22-04-2010,9623.25,9534.05,9739.1,9500.15,23.56
21-04-2010,9555.3,9477.1,9574.55,9477.1,17.32
20-04-2010,9446.1,9314.55,9501.85,9314.55,17.26
19-04-2010,9302.9,9273.85,9357.05,9206,12.01
16-04-2010,9353.75,9345.5,9410.15,9266.15,14.03
15-04-2010,9344.6,9501.6,9575.25,9330.8,16.78
13-04-2010,9483,9565.05,9565.35,9453.55,12.49
12-04-2010,9575.45,9661.2,9667.4,9547.6,10.83
09-04-2010,9656.5,9538,9686.25,9538,12.13
08-04-2010,9520,9676.7,9676.7,9492.3,13.73
07-04-2010,9681.05,9778.5,9793.2,9639.85,21.6
06-04-2010,9728.2,9732.6,9772.4,9674.1,21.8
05-04-2010,9698.6,9593.55,9708.9,9582,14.91
01-04-2010,9507.75,9464.15,9523.4,9445.55,10.37
31-03-2010,9459.6,9509.85,9537.45,9440.35,12.86
30-03-2010,9470.3,9558.95,9587.65,9461.25,13.57
29-03-2010,9517.6,9452.1,9578.5,9452.1,15.05
26-03-2010,9456.2,9331.65,9473.2,9321.5,15.95
25-03-2010,9318.25,9191.4,9342,9165.5,23.04
23-03-2010,9222.9,9192.45,9257.9,9166.4,13.72
22-03-2010,9186.95,9171.2,9240.85,9066.7,13.9
19-03-2010,9270.8,9293.7,9294.1,9231.9,11.1
18-03-2010,9252.3,9214.1,9287.6,9172.05,13.95
17-03-2010,9188.4,9162.45,9221.05,9142,16.16
16-03-2010,9102.95,9071,9121.95,8986.75,11.51
15-03-2010,9085.5,9118.2,9146.2,9056.15,10.8
12-03-2010,9172.9,9201.15,9230,9145.6,12.58
11-03-2010,9186.85,9114.65,9219.2,9087.35,13.51
10-03-2010,9119.25,9136.25,9156,9074,15.16
09-03-2010,9138.2,9118.7,9177,9073.5,16.24
08-03-2010,9145.95,9102.15,9178.55,9093.45,21.14
05-03-2010,9038.45,9012.85,9095.3,8967.8,16.68
04-03-2010,9013.8,9055.95,9068.95,8965.25,16.82
03-03-2010,9039.45,8922.15,9046.9,8922.15,18.8
02-03-2010,8922.1,8826.9,8945.6,8826.9,18.12
26-02-2010,8722.75,8535.45,8851.35,8527.05,24.32
25-02-2010,8537.8,8520.6,8554.95,8469.65,18.82
24-02-2010,8504.55,8463.45,8527.35,8458.45,11.26
23-02-2010,8512.95,8491.4,8577.9,8453.4,12.34
22-02-2010,8493.35,8565.3,8598.25,8473.15,10.34
19-02-2010,8487.1,8490.25,8530.25,8407.95,14.81
18-02-2010,8573.9,8574.75,8602,8523.35,18.05
17-02-2010,8551.5,8446.55,8569.25,8446.55,15.71
16-02-2010,8397.8,8324.3,8432.15,8289.15,8.49
15-02-2010,8312.7,8441.6,8441.6,8282.05,8.57
11-02-2010,8381.4,8327.7,8451.95,8327.7,10.9
10-02-2010,8290,8410.55,8444.2,8259.4,13.38
09-02-2010,8392.45,8322,8420.4,8271.55,14.99
08-02-2010,8342.2,8279.75,8412.3,8160.95,15.3
06-02-2010,8275.2,8268.2,8293.25,8249,2.1
05-02-2010,8223.25,8319.15,8319.15,8150.45,18.54
04-02-2010,8471.1,8591.8,8623.25,8455.5,17.52
03-02-2010,8631.85,8489.8,8662.95,8489.8,17.65
02-02-2010,8468.15,8666.7,8718.65,8453.9,19.58
01-02-2010,8649.25,8597.45,8712.25,8495.25,20.36
29-01-2010,8651.55,8346.55,8687,8306.1,38.57
28-01-2010,8423.85,8396.5,8496.1,8354.25,34.62
27-01-2010,8329.8,8564.6,8602.65,8294.6,25.5
25-01-2010,8696.6,8724.8,8751.2,8669.55,12.81
22-01-2010,8772.65,8891.8,8891.8,8659.9,21.05
21-01-2010,8919.3,9093,9098.1,8889.05,18.14
20-01-2010,9126.35,9177.75,9196.4,9104.1,17.65
19-01-2010,9135.9,9125.9,9202.5,9093.95,14.76
18-01-2010,9093.25,8887.15,9120.35,8863.2,17.75
15-01-2010,8911.1,8961.65,8982.55,8874.8,19.43
14-01-2010,8910.8,8952,9040,8883.1,16.94
13-01-2010,8926.1,8912.6,8937.85,8836.7,19.86
12-01-2010,8985.1,9173.85,9173.85,8973.05,26.43
11-01-2010,9173.55,9209.15,9248,9161.05,12.96
08-01-2010,9160.7,9185.05,9214.35,9141.45,12.44
07-01-2010,9192.95,9240.25,9261.85,9153.25,11.68
06-01-2010,9223,9243.9,9265.55,9183.65,16.22
05-01-2010,9192.15,9191.25,9214,9157.35,16.77
04-01-2010,9112.35,9031.9,9129.45,9031.9,9.61
31-12-2009,9029.5,9014.75,9093.65,9002.45,14.82
30-12-2009,8994.6,8989,9021.2,8937.3,11.33
29-12-2009,8991.9,8990.35,9042.55,8965.7,10.29
24-12-2009,8968.1,8957.4,9012.45,8895.6,13.41
23-12-2009,8919.05,8721.5,8927.25,8721.5,16.63
22-12-2009,8712.5,8647.05,8737.15,8647.05,13.47
21-12-2009,8609.55,8601,8662.9,8560.15,16.69
18-12-2009,8599.95,8644.25,8708,8577.7,17.71
17-12-2009,8697.2,8659.35,8757.5,8586.95,20.1
16-12-2009,8667.4,8701.7,8748,8640.9,24.08
15-12-2009,8734.45,8994.85,9027.4,8715.3,22.78
14-12-2009,8996.75,9072.85,9131.55,8977.5,19.29
11-12-2009,9097.2,9265.35,9293.05,9054.75,18.83
10-12-2009,9205.65,9140.35,9224.7,9078.9,19.04
09-12-2009,9146.35,9224.3,9266.05,9119.5,18.65
08-12-2009,9290.1,9126,9301.1,9124.5,22.91
07-12-2009,9175.6,9257.6,9309.75,9150.25,14.49
04-12-2009,9245.05,9263.2,9338.7,9195.55,16.33
03-12-2009,9345.25,9370.65,9435.9,9294.75,24.23
02-12-2009,9327.25,9293.9,9407.05,9293.9,29.96
01-12-2009,9250.95,9056.05,9260.7,9056.05,16.25
30-11-2009,9046.95,9121.7,9137.75,8989,17.96
27-11-2009,8945.05,8994.2,8994.2,8591.75,27.59
26-11-2009,9067.65,9291.55,9291.55,9045.35,22.09
25-11-2009,9303.15,9215.5,9340.75,9214.25,16.81
24-11-2009,9247.65,9266.1,9295.9,9163.7,17.02
23-11-2009,9274.1,9256.75,9325,9223.15,14.22
20-11-2009,9219.05,8993.3,9241.3,8890.1,21.17
19-11-2009,9041.65,9210.2,9210.2,8992.5,14.18
18-11-2009,9223.85,9236.4,9308.45,9206.05,15
17-11-2009,9299.6,9259.2,9315.2,9118,14.13
16-11-2009,9266.4,9201.85,9339.1,9201.85,15.94
13-11-2009,9155.65,9055.85,9215.75,9055.85,22.38
12-11-2009,9084.8,9323.75,9332.65,9024.9,25.8
11-11-2009,9337.6,9147.65,9355.4,9095.65,18.67
10-11-2009,9179.5,9182,9267.45,9124,25.2
09-11-2009,9137.5,8750.7,9150.75,8750.7,29.04
06-11-2009,8723.75,8612.3,8780,8612.3,24.51
